Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
325713, 597, 0, 80.127252, 76.575044, 76.574618, 76.574618, 95.57, 100.00, 100.00
325790, 314, 0, 43.379700, 40.457700, 40.457500, 40.457500, 93.26, 100.00, 100.00
326439, 61, 0, 0.075945, 0.071875, 0.071875, 0.071875, 94.64, 100.00, 100.00
326446, 196, 0, 39.208700, 34.237470, 34.236850, 34.236850, 87.32, 100.00, 100.00
326468, 4, 0, 1.211630, 1.173450, 1.173430, 1.173430, 96.85, 100.00, 100.00
326551, 444, 0, 126.741900, 116.581500, 116.579800, 116.579800, 91.98, 100.00, 100.00
326657, 240, 0, 70.240600, 63.792900, 63.791800, 63.791800, 90.82, 100.00, 100.00
326695, 409, 0, 112.927000, 108.065000, 108.064000, 108.064000, 95.69, 100.00, 100.00
326834, 713, 0, 211.541800, 201.852000, 201.848800, 201.848800, 95.42, 100.00, 100.00
326870, 205, 0, 69.779700, 56.172900, 56.171800, 56.171800, 80.50, 100.00, 100.00
326923, 390, 0, 141.488700, 134.772400, 134.770300, 134.770300, 95.25, 100.00, 100.00
326945, 433, 0, 157.864420, 154.211460, 154.208350, 154.208350, 97.69, 100.00, 100.00
327057, 633, 0, 259.505500, 232.109300, 232.105300, 232.105300, 89.44, 100.00, 100.00
327103, 178, 0, 94.477000, 76.646700, 76.644900, 76.644900, 81.13, 100.00, 100.00
327265, 932, 0, 371.545000, 352.437904, 352.428074, 352.428074, 94.86, 100.00, 100.00
327342, 1278, 0, 519.189400, 498.659300, 498.633700, 498.633700, 96.05, 99.99, 100.00
327490, 681, 0, 364.629720, 337.400750, 337.383970, 337.383970, 92.53, 100.00, 100.00
327582, 45, 0, 33.338300, 31.603400, 31.601600, 31.601600, 94.80, 99.99, 100.00
327636, 380, 0, 211.472000, 193.972000, 193.968000, 193.968000, 91.72, 100.00, 100.00
327662, 556, 0, 306.796000, 286.790300, 286.782900, 286.782900, 93.48, 100.00, 100.00
327745, 121, 0, 89.863300, 80.777900, 80.770200, 80.770200, 89.89, 99.99, 100.00
327761, 9, 0, 5.710140, 5.139670, 5.138720, 5.138720, 90.01, 99.98, 100.00
327764, 1036, 0, 517.010000, 485.526000, 485.473000, 485.473000, 93.91, 99.99, 100.00
327860, 83, 0, 64.913480, 61.008720, 61.001920, 61.001920, 93.98, 99.99, 100.00
327862, 476, 0, 258.364000, 241.566000, 241.467000, 241.467000, 93.50, 99.96, 100.00
328042, 527, 0, 278.009000, 253.704000, 252.766000, 252.766000, 91.26, 99.63, 100.00
328099, 792, 0, 429.956589, 408.107793, 407.936855, 407.936855, 94.92, 99.96, 100.00
328221, 113, 0, 85.440600, 80.440600, 80.023600, 80.023600, 94.15, 99.48, 100.00
328263, 628, 0, 407.182000, 389.089000, 387.308000, 387.308000, 95.56, 99.54, 100.00
328333, 361, 0, 257.027000, 243.774000, 242.492000, 242.492000, 94.84, 99.47, 100.00
328374, 16, 0, 11.060600, 10.363700, 10.307000, 10.307000, 93.70, 99.45, 100.00
328393, 250, 0, 186.915000, 176.104000, 175.124000, 175.124000, 94.22, 99.44, 100.00
329716, 117, 0, 42.712510, 41.484230, 41.470010, 41.470010, 97.12, 99.97, 100.00
329778, 8, 0, 2.663660, 2.286670, 2.276680, 2.276680, 85.85, 99.56, 100.00
329780, 579, 0, 291.865183, 280.399166, 279.227172, 279.227172, 96.07, 99.58, 100.00
329829, 72, 0, 51.512140, 50.420160, 50.148840, 50.148840, 97.88, 99.46, 100.00
329835, 162, 0, 109.500454, 103.148439, 102.613507, 102.613507, 94.20, 99.48, 100.00
329869, 369, 0, 218.593000, 203.371000, 203.348000, 203.348000, 93.04, 99.99, 100.00
329964, 290, 0, 180.800000, 173.782000, 173.038000, 173.038000, 96.12, 99.57, 100.00
330025, 499, 0, 316.467300, 303.962900, 302.918400, 302.918400, 96.05, 99.66, 100.00
330074, 103, 0, 80.849200, 77.906000, 77.876000, 77.876000, 96.36, 99.96, 100.00
330079, 122, 0, 90.281580, 86.678450, 86.633720, 86.633720, 96.01, 99.95, 100.00
330101, 18, 0, 12.371700, 11.708100, 11.706700, 11.706700, 94.64, 99.99, 100.00
330160, 47, 0, 40.419100, 37.418900, 37.413400, 37.413400, 92.58, 99.99, 100.00
330166, 18, 0, 13.787800, 13.130400, 13.129100, 13.129100, 95.23, 99.99, 100.00
330203, 874, 0, 479.869700, 464.277900, 464.249600, 464.249600, 96.75, 99.99, 100.00
330294, 825, 0, 473.451000, 457.359000, 457.290000, 457.290000, 96.60, 99.98, 100.00
330470, 116, 0, 88.805300, 81.749900, 81.747300, 81.747300, 92.06, 100.00, 100.00
331033, 63, 0, 52.285400, 29.156100, 29.144900, 29.144900, 55.76, 99.96, 100.00
331082, 11, 0, 8.898500, 8.724430, 8.724110, 8.724110, 98.04, 100.00, 100.00
331085, 1007, 0, 526.059000, 506.062000, 506.030000, 506.030000, 96.20, 99.99, 100.00
331129, 903, 0, 486.065500, 473.246700, 473.156500, 473.156500, 97.36, 99.98, 100.00
331215, 167, 0, 131.862000, 126.609000, 126.527000, 126.527000, 96.02, 99.94, 100.00
