Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
297730, 420, 0, 3.875480, 3.362130, 3.362130, 3.362130, 86.75, 100.00, 100.00
298595, 137, 0, 1.113740, 0.954895, 0.954895, 0.954895, 85.74, 100.00, 100.00
298609, 267, 0, 2.190758, 1.928731, 1.928730, 1.928730, 88.04, 100.00, 100.00
298633, 641, 0, 6.246255, 5.853216, 5.853216, 5.853216, 93.71, 100.00, 100.00
298687, 453, 0, 21.519646, 20.624505, 20.624344, 20.624344, 95.84, 100.00, 100.00
298690, 25, 0, 1.492020, 1.414700, 1.414700, 1.414700, 94.82, 100.00, 100.00
298771, 153, 0, 8.459880, 7.964030, 7.963960, 7.963960, 94.14, 100.00, 100.00
298773, 151, 0, 8.834120, 7.809340, 7.809310, 7.809310, 88.40, 100.00, 100.00
298862, 476, 0, 25.294594, 23.574934, 23.574934, 23.574934, 93.20, 100.00, 100.00
298967, 560, 0, 55.489400, 53.443400, 53.441700, 53.441700, 96.31, 100.00, 100.00
299055, 473, 0, 45.709500, 44.524100, 44.523200, 44.523200, 97.41, 100.00, 100.00
299144, 362, 0, 30.502500, 29.723000, 29.722900, 29.722900, 97.44, 100.00, 100.00
299147, 255, 0, 24.343190, 23.475030, 23.474860, 23.474860, 96.43, 100.00, 100.00
299184, 711, 0, 95.977300, 91.829400, 91.828200, 91.828200, 95.68, 100.00, 100.00
299243, 55, 0, 6.040120, 5.857890, 5.857890, 5.857890, 96.98, 100.00, 100.00
299584, 2030, 0, 234.430595, 222.179477, 222.175577, 222.175577, 94.77, 100.00, 100.00
300279, 68, 0, 6.878860, 5.529750, 5.529700, 5.529700, 80.39, 100.00, 100.00
300345, 37, 0, 6.546210, 5.756120, 5.756050, 5.756050, 87.93, 100.00, 100.00
300415, 499, 0, 102.811730, 94.445689, 94.439459, 94.439459, 91.86, 99.99, 100.00
300418, 30, 0, 6.974250, 5.919120, 5.919120, 5.919120, 84.87, 100.00, 100.00
300487, 511, 0, 127.821574, 119.933724, 119.927014, 119.927014, 93.83, 99.99, 100.00
300540, 746, 0, 197.752200, 180.835400, 180.827800, 180.827800, 91.45, 100.00, 100.00
300571, 507, 0, 158.873000, 144.182000, 144.175000, 144.175000, 90.75, 100.00, 100.00
300600, 164, 0, 58.076500, 49.165500, 49.157700, 49.157700, 84.66, 99.98, 100.00
300655, 676, 0, 241.352280, 230.271780, 230.260740, 230.260740, 95.41, 100.00, 100.00
300687, 1114, 0, 355.898500, 333.719200, 333.668900, 333.668900, 93.77, 99.98, 100.00
300784, 23, 0, 7.610950, 7.035920, 7.035850, 7.035850, 92.44, 100.00, 100.00
300800, 830, 0, 298.094560, 274.177941, 274.158876, 274.158876, 91.98, 99.99, 100.00
300863, 1091, 0, 360.010600, 326.175900, 326.156800, 326.156800, 90.60, 99.99, 100.00
300908, 657, 0, 229.929865, 210.991000, 210.815700, 210.815700, 91.76, 99.92, 100.00
301912, 54, 0, 7.201080, 6.159560, 6.159450, 6.159450, 85.54, 100.00, 100.00
301915, 37, 0, 4.353810, 3.710720, 3.710650, 3.710650, 85.23, 100.00, 100.00
301918, 165, 0, 19.708500, 19.136500, 19.136400, 19.136400, 97.10, 100.00, 100.00
301932, 1181, 0, 378.782816, 353.327544, 353.294755, 353.294755, 93.28, 99.99, 100.00
301973, 1660, 0, 488.050000, 463.288000, 463.232000, 463.232000, 94.93, 99.99, 100.00
302053, 1133, 0, 408.740669, 378.380053, 378.220537, 378.220537, 92.57, 99.96, 100.00
302137, 537, 0, 205.645000, 194.982000, 194.970000, 194.970000, 94.81, 99.99, 100.00
302265, 280, 0, 111.061500, 100.996700, 100.985100, 100.985100, 90.94, 99.99, 100.00
302269, 179, 0, 58.401100, 55.717900, 55.716600, 55.716600, 95.41, 100.00, 100.00
302300, 1508, 0, 402.459720, 380.870000, 380.847260, 380.847260, 94.64, 99.99, 100.00
302347, 534, 0, 205.232644, 193.578441, 193.561421, 193.561421, 94.32, 99.99, 100.00
302380, 255, 0, 109.729070, 103.096960, 103.081880, 103.081880, 93.96, 99.99, 100.00
302391, 306, 0, 131.900200, 125.011300, 124.998500, 124.998500, 94.78, 99.99, 100.00
